customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-100018,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,91.58,531.66,Yes
CUST-100019,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),92.61,6648.92,No
CUST-100020,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Mailed check,96.95,1922.58,No
CUST-100021,Male,0,Yes,No,72,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,63.53,4568.36,Yes
CUST-100022,Male,1,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),100.43,106.3,Yes
CUST-100023,Female,0,No,Yes,34,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),83.71,2837.02,No
CUST-100024,Female,0,No,Yes,72,No,No phone service,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),51.75,3746.13,No
CUST-100025,Female,0,No,Yes,9,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),86.76,780.77,Yes
CUST-100026,Male,0,No,No,31,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,70.02,2168.69,No
CUST-100027,Female,0,No,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,53.23,665.39,Yes
CUST-100028,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,86.94,123.36,Yes
CUST-100029,Male,0,No,Yes,25,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),106.62,2664.55,Yes
CUST-100030,Male,0,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.57,802.87,Yes
CUST-100031,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,101.91,191.37,No
CUST-100032,Male,0,No,No,11,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),56.69,640.2,Yes
CUST-100033,Female,0,No,Yes,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.41,832.85,Yes
CUST-100034,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),26.17,88.72,No
CUST-100035,Male,0,Yes,No,9,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,69.1,644.32,Yes
CUST-100036,Female,0,No,No,33,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,63.63,2116.78,No
CUST-100037,Female,0,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),102.73,4402.9,No
CUST-100038,Male,0,Yes,Yes,36,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.08,1877.01,No
CUST-100039,Female,0,Yes,Yes,23,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),57.57,1364.87,Yes
CUST-100040,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),93.27,6707.85,Yes
CUST-100041,Female,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Mailed check,80.82,730.61,No
CUST-100042,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.56,314.14,Yes
CUST-100043,Male,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.81,553.62,No
CUST-100044,Male,0,Yes,No,16,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,93.66,1521.48,No
CUST-100045,Female,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.46,6160.45,No
CUST-100046,Male,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.8,891.74,No
CUST-100047,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,86.94,2912.11,No
CUST-100048,Female,0,No,Yes,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.89,1401.16,No
CUST-100049,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),95.86,2565.55,Yes
CUST-100050,Female,0,Yes,No,16,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,60.69,939.28,No
CUST-100051,Male,0,No,No,19,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,76.49,1460.72,No
CUST-100052,Male,0,Yes,Yes,59,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,62.63,3721.53,Yes
CUST-100053,Male,0,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.54,0.0,No
CUST-100054,Male,0,Yes,No,12,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,53.86,670.02,No
CUST-100055,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),80.46,2748.92,No
CUST-100056,Female,1,No,Yes,23,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),88.88,2016.78,Yes
CUST-100057,Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.62,36.16,No
CUST-100058,Female,0,Yes,No,50,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),78.32,3937.59,Yes
CUST-100059,Female,1,No,No,14,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),49.83,686.37,No
CUST-100060,Female,1,No,No,26,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,70.39,1846.52,No
CUST-100061,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,92.17,83.97,Yes
CUST-100062,Male,1,Yes,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.18,972.55,Yes
CUST-100063,Female,1,No,No,39,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,95.84,3746.34,Yes
CUST-100064,Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),82.66,408.33,No
CUST-100065,Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.25,268.11,No
CUST-100066,Female,0,No,Yes,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,100.0,856.8,Yes
CUST-100067,Male,0,Yes,No,72,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,64.37,4612.93,No
CUST-100068,Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.78,206.19,No
CUST-100069,Male,0,No,No,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),102.64,7413.53,No
CUST-100070,Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,31.82,257.46,No
CUST-100071,Male,0,No,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),93.78,1218.45,No
CUST-100072,Male,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,89.81,1982.17,No
CUST-100073,Male,0,Yes,No,48,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,73.83,3548.79,No
CUST-100074,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,95.74,4114.85,No
CUST-100075,Male,0,Yes,No,20,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),68.13,1350.19,Yes
CUST-100076,Male,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.02,1686.45,No
CUST-100077,Male,1,Yes,Yes,1,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),64.58,84.08,No
CUST-100078,Female,1,No,Yes,18,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Electronic check,67.15,1194.93,Yes
CUST-100079,Female,1,Yes,No,18,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),104.34,1834.93,Yes
CUST-100080,Female,1,No,Yes,49,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.16,4329.16,No
CUST-100081,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),95.96,893.56,Yes
CUST-100082,Male,0,No,Yes,12,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.16,928.9,Yes
CUST-100083,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.75,3438.22,Yes
CUST-100084,Female,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),94.54,672.19,No
CUST-100085,Female,1,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,106.26,3802.23,No
CUST-100086,Male,0,No,Yes,3,Yes,No,DSL,No,No,No,No,No,No,One year,No,Electronic check,50.22,136.59,Yes
CUST-100087,Male,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,86.43,1627.22,No
CUST-100088,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.68,28.06,No
CUST-100089,Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,89.92,6470.61,No
CUST-100090,Male,0,Yes,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.11,939.39,No
CUST-100091,Female,0,No,No,28,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,65.94,1863.31,No
CUST-100092,Female,1,No,No,16,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.94,1264.13,Yes
CUST-100093,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),112.9,8100.42,No
CUST-100094,Female,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),102.53,935.06,Yes
CUST-100095,Male,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.53,1137.64,No
CUST-100096,Male,0,Yes,Yes,2,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,70.26,137.02,No
CUST-100097,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),90.63,1370.38,Yes
CUST-100098,Female,0,Yes,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,98.99,2887.88,No
CUST-100099,Male,0,Yes,No,25,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.04,2301.33,No
CUST-100100,Female,1,No,No,59,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,76.14,4447.83,No
CUST-100101,Male,0,No,No,72,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,64.67,4653.98,Yes
CUST-100102,Female,0,No,No,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.69,637.05,No
CUST-100103,Male,0,No,No,5,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,68.8,345.33,No
CUST-100104,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.2,2114.63,No
CUST-100105,Female,0,Yes,No,72,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),55.21,3955.61,No
CUST-100106,Female,1,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,91.02,6595.18,Yes
CUST-100107,Female,0,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,103.79,3321.62,Yes
CUST-100108,Male,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.76,297.64,No
CUST-100109,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),81.53,817.33,No
CUST-100110,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),49.59,258.55,Yes
CUST-100111,Female,0,Yes,No,2,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,50.79,88.93,No
CUST-100112,Female,0,No,No,29,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),64.79,1925.32,No
CUST-100113,Male,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,95.65,3126.0,No
CUST-100114,Female,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.81,487.14,No
CUST-100115,Female,0,Yes,No,72,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.87,5502.65,No
CUST-100116,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.94,6144.6,Yes
CUST-100117,Male,0,No,No,49,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,83.42,4097.04,Yes
CUST-100118,Male,1,Yes,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.38,3408.59,No
CUST-100119,Male,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),97.23,3023.53,No
CUST-100120,Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),88.07,449.48,Yes
CUST-100121,Female,0,No,No,11,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),51.76,562.14,No
CUST-100122,Female,0,No,Yes,33,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.58,2766.69,No
CUST-100123,Male,0,No,Yes,27,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,86.07,2319.96,No
CUST-100124,Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),88.55,1231.52,Yes
CUST-100125,Female,0,No,Yes,1,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,76.91,66.94,No
CUST-100126,Male,0,No,No,11,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,97.75,1079.91,No
CUST-100127,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.06,1252.3,No
CUST-100128,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),92.2,1543.3,No
CUST-100129,Female,0,Yes,No,11,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),78.54,854.33,No
CUST-100130,Female,0,Yes,No,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.15,1345.95,No
CUST-100131,Female,1,Yes,No,43,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,63.94,2784.56,No
CUST-100132,Male,0,Yes,No,18,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),84.42,1528.19,No
CUST-100133,Female,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),48.43,129.04,No
CUST-100134,Female,1,No,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.94,730.02,No
CUST-100135,Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,71.26,3582.7,No
CUST-100136,Female,0,Yes,No,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),109.69,1529.39,No
CUST-100137,Male,1,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),34.35,181.48,No
CUST-100138,Male,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),88.3,4170.38,No
CUST-100139,Male,0,Yes,No,27,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),64.68,1752.52,No
CUST-100140,Female,0,Yes,Yes,36,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),53.51,1902.48,Yes
CUST-100141,Male,0,Yes,No,22,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,57.52,1238.63,No
CUST-100142,Male,0,Yes,No,26,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,63.55,1608.95,No
CUST-100143,Male,0,Yes,No,3,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,102.33,294.54,Yes
CUST-100144,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),84.19,4552.35,Yes
CUST-100145,Female,0,No,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,32.11,565.08,No
CUST-100146,Male,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,79.48,803.3,Yes
CUST-100147,Male,0,Yes,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.38,184.94,No
CUST-100148,Female,1,Yes,No,37,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),97.9,3616.63,No
CUST-100149,Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),83.75,1201.09,No
CUST-100150,Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,76.88,1911.76,Yes
CUST-100151,Male,0,No,Yes,10,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,78.29,798.28,No
CUST-100152,Female,0,Yes,No,15,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),74.56,1131.31,No
CUST-100153,Male,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.94,246.72,No
CUST-100154,Male,1,Yes,Yes,37,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),102.28,3792.98,Yes
CUST-100155,Female,0,No,No,58,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,68.79,4004.95,No
CUST-100156,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),87.24,232.09,Yes
CUST-100157,Female,1,Yes,No,21,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,56.75,1222.06,No
CUST-100158,Female,0,No,Yes,19,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.76,1783.31,No
CUST-100159,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,88.88,1339.44,Yes
CUST-100160,Female,0,No,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.82,1404.41,No
CUST-100161,Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.85,4028.89,No
CUST-100162,Male,0,Yes,No,14,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,90.74,1250.86,Yes
CUST-100163,Male,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),91.43,1656.73,No
CUST-100164,Male,1,No,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.4,89.23,Yes
CUST-100165,Female,1,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.64,30.58,No
CUST-100166,Male,1,No,No,28,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),100.28,2802.06,No
CUST-100167,Male,0,Yes,No,7,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Mailed check,95.74,695.81,No
CUST-100168,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),93.22,1110.21,No
CUST-100169,Male,1,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.0,1529.16,No
CUST-100170,Male,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.13,283.36,No
CUST-100171,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.96,5447.02,Yes
CUST-100172,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.36,2268.48,Yes
CUST-100173,Female,0,Yes,No,27,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,76.94,2094.01,No
CUST-100174,Female,0,No,No,12,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,59.12,675.45,Yes
